Tail_Number,Aircraft_Type
B-8871,A320
RP-C4144,A20N
HS-CBR,A320
9M-AJH,A320
9V-SCH,B78X
B-18115,A21N
9M-MXY,B738
B-6979,A321
B-16717,B77W
9V-SHB,A359
B-HNR,B77W
RP-C9903,A321
B-6322,A320
B-5406,B738
A7-BFO,B77L
B-1946,B738
B-327L,A20N
B-1275,B38M
B-1515,B738
B-8637,A20N
B-328T,A20N
TC-LLJ,B789
VT-EXK,A20N
B-LRG,A359
B-1025,A320
D-AALW,B77L
B-2845,B752
9H-JHK,FA7X
84-00156,BE20
B-KQQ,B77W
VN-A238,F2TH
B-18779,B77L
A7-BCM,B788
HL8535,B78X
TC-LGH,A359
N24988,B789
N580UP,B744
VT-IMM,A21N
B-306G,A20N
B-207F,B38M
B-5780,B738
B-6735,A320
A6-EWJ,B77L
RP-C4115,A321
HS-CBL,A320
VT-EXG,A20N
B-6707,A320
A7-BOF,B77W
TC-LJR,B77L
B-30EV,A21N
9V-SHK,A359
F-HTYB,A359
A7-CGH,GLF6
A7-BHO,B789
B-1707,B738
N24990,B789
B-32L1,A21N
B-1800,A320
B-16332,A333
TC-LLB,B789
VT-EXU,A20N
B-LRU,A359
B-8591,A320
B-6110,B737
9V-SHP,A359
B-7819,B738
9M-MXF,B738
RP-C9901,A321
B-1057,A321
A7-BHD,B789
B-1828,A320
N574UP,B744
B-32FC,A20N
B-5423,B738
B-30DG,A20N
B-1961,B738
TC-LLE,B789
HS-BBZ,A20N
HS-TXE,A320
B-LBJ,A333
B-58301,A339
9V-SMG,A359
RA-76834,IL76
9V-SHU,A359
B-KQR,B77W
B-16853,AT76
B-301H,A20N
N29981,B789
B-302Z,A20N
D-AALV,B77L
B-208G,B38M
B-309K,A20N
RP-C4147,A21N
B-6965,A320
RP-C3287,A20N
9V-SCK,B78X
B-18307,A333
B-18722,B744
RP-C8771,A333
HL8536,B78X
B-6487,B738
9V-SHG,A359
HL8005,B77L
F-HTYO,A359
B-5853,B738
A7-BHL,B789
HL8570,B78X
LX-VCK,B748
A7-BTB,B77L
B-9913,A320
B-1271,B38M
B-32HU,A21N
TC-LLI,B789
HS-ABJ,A320
N332UP,B763
B-KPF,B77W
D-AALF,B77L
B-6971,A320
B-58305,A339
9V-TRV,A320
B-6143,B738
9V-SHO,A359
VH-OFA,CL60
HS-BBI,A320
B-6968,A321
A7-BHP,B789
TC-JNS,A333
B-5775,B738
A6-EPQ,B77W
EZ-F429,A332
VN-A895,A359
B-LAO,A333
9V-TNJ,A20N
D-AALJ,B77L
B-1702,B738
9M-MVD,B38M
B-KQO,B77W
9M-MXM,B738
8902,N/A
B-18781,B77L
A7-BHM,B789
B-8658,A321
TC-JOJ,A333
N29971,B789
VT-ILP,A21N
B-1517,B738
B-30FN,A20N
B-30AU,A20N
B-1120,B38M
9M-MUB,A332
TC-LGR,A359
HS-CBD,A320
B-HLR,A333
B-32JT,A20N
PK-MYI,B738
B-2899,B752
B-5789,B738
RDPL-34176,AT75
B-6839,A321
A7-BHF,B789
HL7702,A333
B-1913,B738
B-HPE,A21N
B-320H,A20N
B-1606,A321
B-1697,A320
B-1376,B738
B-223U,B38M
PK-MBA,B733
9M-MVK,B38M
RP-C4103,A320
VT-CIF,A20N
B-18720,B744
HS-TQA,B788
9V-SCL,B78X
EI-CXV,B738
B-18315,A333
B-6772,A320
B-16727,B77W
HL8533,A21N
B-1305,B738
LX-RCV,B744
A7-BHQ,B789
B-6065,B738
VT-IMD,A21N
B-6762,A320
A7-BFP,B77L
B-329U,A20N
A6-ENC,B77W
RP-C4104,A320
B-LAD,A333
B-58202,A21N
B-58506,A359
SP-LSF,B789
T7-OLLIE,GLEX
RP-C8781,A333
A7-BHB,B789
B-HPB,A21N
N29985,B789
A7-BFX,B77L
HL8077,B77L
B-30CZ,A20N
9M-RXA,B762
TC-LLF,B789
RP-C4110,A20N
RP-C4102,A320
B-LAM,A333
B-16729,B77W
B-223H,B738
N917CJ,GLF5
B-7818,B738
B-HNN,B773
HS-BBB,A320
F-HTYQ,A359
B-305U,A321
B-1287,B738
N581UP,B744
B-LDX,A333
B-LBE,A333
9V-SMV,A359
HL8575,B78X
HS-TEN,A333
VN-8768,EC25
N8188E,E55P
HL8027,A333
B-9915,A320
B-308Z,A20N
B-223V,B38M
B-30CT,A20N
B-5426,B738
9H-MLO,A320
VN-A551,A21N
N302UP,B763
9H-MLX,A320
B-HNI,B773
VN-A894,A359
D-AERA,B77L
B-58304,A339
RP-C8780,A333
9V-SMP,A359
LX-OCV,B744
B-30CA,A20N
B-7849,B738
B-LBB,A333
HS-ABU,A320
A7-BFB,B77L
HL7587,A333
TC-LHG,A359
TC-LJY,B77L
B-1925,B738
B-20E2,B38M
HS-BBE,A320
9V-SCE,B78X
B-8873,A320
VN-8616,AS50
VN-A618,A21N
SP-LSD,B789
HL8586,A21N
B-1087,A21N
B-18663,B738
HL7584,A333
B-5791,B738
N29991,B789
HL7603,B744
VT-IAN,A320
B-32CW,A20N
RP-C9935,A21N
TC-LLH,B789
9V-SMT,A359
TC-LJT,B77L
B-5829,B737
B-303Y,A21N
B-HNQ,B773
B-18776,B77L
TC-RSF,CL60
B-9967,A321
A7-BHT,B789
9V-TNL,A20N
N620UP,B748
VT-IFP,A320
B-9917,A320
B-30CD,A20N
B-320C,A20N
B-324D,A20N
B-LDP,A332
B-LBH,A333
B-1747,B738
ZK-AWK,B738
A6-SD5,DHC6
EC-MFK,A320
B-1831,A321
9V-SMW,A359
B-8375,A320
B-5489,B738
N291VK,GLF4
A7-BHY,B789
HL7553,A333
N572UP,B744
B-325D,A20N
B-322F,A20N
B-32E3,A20N
B-1921,B738
B-302J,A20N
TC-LLY,B789
B-LAR,A333
B-324G,A20N
B-58303,A339
HL8571,B78X
B-306L,A21N
A7-BHJ,B789
VN-A600,A21N
HK-5479,AT76
B-5688,B738
B-HPR,A21N
TC-LGE,A359
N613UP,B748
VT-IAR,A320
B-LIE,B744
B-325U,A20N
B-16331,A333
A6-ENH,B77W
HS-BBO,A320
RP-C4108,A320
9V-SCD,B78X
EI-MNG,B38M
B-32FM,A20N
HL8044,B77L
B-1795,B738
TC-LGT,A359
B-32AD,A20N
LX-VCD,B748
A7-BFD,B77L
VT-IFS,A320
B-305D,A20N
RA-76373,IL76
B-5379,B738
B-5749,B738
B-6736,A320
B-305M,A20N
B-320M,A20N
XY-ALY,A319
B-8963,A320
B-58302,A339
B-18652,B738
B-1355,B738
HS-TEP,A333
B-6906,A321
9M-TLP,A321
B-327X,A20N
VT-IFZ,A320
D-AALK,B77L
B-309L,A20N
B-18725,B744
B-8700,A320
TC-LLS,B789
VN-A617,A21N
N117FE,B763
B-1369,B738
SP-LSC,B789
9M-AGC,A320
B-1970,B738
A7-BFE,B77L
B-32A9,A20N
HL7605,B744
VT-IFI,A320
B-6901,A320
B-8000,A320
D-AALQ,B77L
B-7170,B738
B-5385,B738
B-18772,B77L
RP-C3508,A359
B-8545,A20N
N38950,B789
N622UP,B748
B-307Z,A20N
B-6816,A320
B-1940,B738
B-1916,B738
B-1360,B738
TC-LLA,B789
N361UP,B763
B-18919,A359
B-6685,A321
B-326K,A20N
N477MC,B744
B-LXF,A35K
B-8960,A321
PK-MYV,B734
LX-JCV,B744
TC-LGC,A359
B-327F,A20N
B-5198,B738
B-32FY,A20N
B-302K,A20N
B-8536,A320
RP-C4330,A320
HL8705,A21N
HL8043,B77L
A7-BHU,B789
B-7823,B738
B-6486,B738
B-302H,A20N
N605UP,B748
B-328Z,A20N
VT-IXG,A20N
B-30CY,A20N
B-1973,B738
B-1227,B738
B-324F,A20N
HL8393,B789
B-LIB,B744
B-6253,A320
B-322J,A20N
B-5397,B738
VT-IQW,A20N
B-30D1,A20N
B-20CJ,B789
B-32C8,A20N
B-7806,B738
B-32EY,A20N
B-5398,B738
B-LAQ,A333
RP-C7782,B77W
B-6842,B738
F-HTYM,A359
A7-BHV,B789
B-5661,B738
LX-VCA,B748
N22992,B789
B-1479,B738
B-1766,B738
B-18103,A21N
B-1297,B789
B-1438,B738
B-30D0,A20N
B-1773,B738
B-16333,A333
B-307S,A20N
TC-LLT,B789
9M-MSB,B738
B-5633,B738
B-8368,A21N
B-303E,A20N
D-AALH,B77L
B-1033,A20N
B-209X,B789
B-308X,A20N
B-5608,B738
B-5936,A332
B-7976,B738
HL8510,A21N
B-5496,B738
V8-RBA,A20N
B-LAA,A333
D-AALX,B77L
B-7591,B738
B-1371,B738
B-1091,A21N
B-KQY,B77W
HS-ABY,A320
B-305T,A321
VH-LJG,LJ35
TC-LGM,A359
B-32HX,A21N
B-18112,A21N
VT-IFL,A320
B-5937,A332
LX-GCL,B744
B-7809,B738
B-308K,A20N
B-1528,B738
RP-C4265,A20N
VN-A909,A20N
B-6252,A320
B-KQI,B77W
B-5383,B738
A7-BFF,B77L
B-30DJ,A20N
B-1975,B738
B-324A,A20N
B-324Z,A20N
B-1437,B738
RP-C4113,A321
TC-LJF,B77W
XY-ALN,A319
B-HNJ,B773
HL8574,B78X
A7-BHS,B789
TC-LGL,A359
N26952,B789
B-7565,B738
RP-C4264,A20N
B-320Y,A21N
B-8325,A320
HS-ABC,A320
B-5750,B738
B-32FU,A20N
B-5619,B738
B-32LX,A21N
B-5949,A332
B-6862,A320
B-30CN,A20N
B-8371,A320
VN-A524,A21N
B-16706,B77W
B-6718,A321
9M-AHE,A320
B-2408,A320
B-HPO,A21N
B-32AA,A20N
VT-IFV,A320
B-1712,B738
B-8226,A332
B-7669,B738
B-5390,B738
B-32KQ,A20N
B-7600,B738
B-8605,A321
VT-IAX,A320
B-5931,A332
B-32KD,A21N
B-1443,B738
VN-8614,AS32
JU-1015,B738
B-306Z,A20N
RP-C8789,A333
F-HUVR,A359
B-5479,B738
B-325F,A21N
B-1456,B738
B-327Y,A20N
B-1211,A20N
B-301A,A20N
B-6538,A332
B-30AR,A20N
B-32D6,A20N
RP-C7784,B77W
B-325G,A20N
B-5656,B738
TC-LHB,A359
B-303F,A20N
VT-IQY,A20N
B-1939,B738
B-32KF,A21N
B-1527,B738
JA896A,B789
B-5847,B738
B-32LU,A21N
B-32LT,A21N
B-1128,B789
B-1358,B738
VN-A285,A21N
B-5653,B738
B-18778,B77L
B-6838,A321
HL7554,A333
B-5595,B738
N103FE,B763
B-5487,B738
VT-IQJ,A20N
B-5908,A332
B-309A,A20N
B-6561,A320
RP-C4106,A320
B-326R,A20N
9V-SMH,A359
A7-BHH,B789
B-9952,A320
VN-A906,A21N
N628UP,B748
B-322Q,A20N
B-32EN,A20N
VT-IXD,A20N
B-1803,A320
HL8511,A21N
B-304G,A320
HL8275,B77W
B-1308,B738
B-2821,B752
B-300C,A321
B-302W,A20N
VT-IXA,A20N
B-1790,B738
B-5400,B738
B-1910,B738
B-6339,A321
B-5439,B738
B-6818,B738
B-5405,B738
B-5632,B738
TC-LHE,A359
A7-BFJ,B77L
B-308Y,A20N
B-6766,A320
B-1895,A320
9V-SDC,B78X
B-6902,A320
VN-A908,A20N
9V-SJA,A359
VH-MED,H25B
HS-TEO,A333
HL7585,A333
B-1292,A20N
N768CK,B744
D-AALY,B77L
LX-VCF,B748
B-1518,B738
B-308W,A20N
B-1440,B738
B-7876,B738
RP-C4134,A20N
HS-THG,A359
VN-A506,A21N
F-HTYH,A359
B-7795,CRJ2
HS-ABS,A320
B-1978,B738
B-5411,B738
B-1226,B738
B-32KR,A20N
HL8216,B77W
B-30ED,A21N
B-5655,B738
JA886A,B789
TC-LGP,A359
N607UP,B748
B-7805,B738
VT-IAO,A320
B-5792,B738
B-7826,B738
N627UP,B748
VT-IFN,A320
VT-EXJ,A20N
B-KQC,B77W
B-1789,B738
B-6488,B738
B-32LA,A21N
B-7975,B738
B-18361,A333
HS-KCS,C750
B-1845,A321
B-18305,A333
F-HTYK,A359
N29984,B789
N573UP,B744
LX-VCM,B748
XY-ALT,A320
B-18719,B744
B-6062,B738
JA807A,B788
B-1441,B738
B-HYG,A333
B-328J,A20N
9V-SJC,A359
B-20D7,B789
HS-THK,A359
B-8602,A321
HL8002,A333
N29961,B789
B-32E1,A20N
VT-IZE,A20N
N340UP,B763
VP-BMU,B77L
9V-SCG,B78X
EC-JQG,A332
RP-C7777,B77W
B-1167,B789
B-16852,AT76
F-HTYE,A359
HL8025,A333
VT-IPF,A20N
B-30AA,A20N
B-7393,B738
LX-NCL,B744
B-8235,A320
B-KQX,B77W
B-1709,B738
B-18311,A333
SP-LSG,B789
B-7979,B738
HS-BBU,A320
9M-MSA,B738
D-AALT,B77L
TC-LHA,A359
VT-IIV,A20N
B-5690,B738
B-320A,A20N
B-LXJ,A35K
RP-C8765,A333
VN-8640,A189
B-1915,B738
F-HTYA,A359
HS-BBC,A320
HL8003,A333
N609UP,B748
B-7977,B738
B-7848,B738
RA-73789,A333
B-7821,B738
B-7749,B738
B-32E0,A20N
B-8955,A321
B-KPX,B77W
B-5520,B738
LX-VCJ,B748
B-1442,B738
A6-ENO,B77W
