airport,mode,column,compared_rows,mismatch_count,mismatch_pct,examples
SGN,arrival,Terminal,36521,23690,64.87,97: 0 -> 2 || 135: 0 -> 2 || 251: 0 -> 2 || 254: 0 -> 2 || 373: 0 -> 3
SGN,arrival,Crawl_Date,36521,2342,6.41,1426: 2025-12-19 -> 2025-12-20 || 1797: 2025-12-20 -> 2025-12-21 || 2176: 2025-12-21 -> 2025-12-22 || 2555: 2025-12-22 -> 2025-12-23 || 2930: 2025-12-23 -> 2025-12-24
SGN,arrival,Category,36521,2152,5.89,79: general aviation -> cargo || 97: general aviation -> passenger || 135: general aviation -> passenger || 251: general aviation -> passenger || 254: general aviation -> passenger
SGN,arrival,Arrival_Runway,36521,1415,3.87,203: N/A -> 25R || 225: N/A -> 25R || 231: N/A -> 25R || 281: N/A -> 25R || 469: N/A -> 25R
SGN,departure,Flight_No,36720,30435,82.88,20: SPQ882 -> 9G882 || 58: SPQ878 -> 9G878 || 76: SPQ868 -> 9G868 || 124: SPQ854 -> 9G854 || 125: SPQ1977 -> 9G1977
SGN,departure,Actual_Time,36720,30264,82.42,6454: 11:37 -> 11:36 || 6455: 11:36 -> 11:34 || 6456: 11:34 -> 11:29 || 6457: 11:29 -> 11:24 || 6458: 11:24 -> 11:22
SGN,departure,Scheduled_Time,36720,29654,80.76,6455: 11:25 -> 10:05 || 6456: 10:05 -> 11:20 || 6457: 11:20 -> 10:55 || 6458: 10:55 -> 10:30 || 6459: 10:30 -> 11:00
SGN,departure,Destination,36720,28665,78.06,39: Thanh Hoa -> Sao Vang || 52: Thanh Hoa -> Sao Vang || 69: Thanh Hoa -> Sao Vang || 141: Thanh Hoa -> Sao Vang || 144: Thanh Hoa -> Sao Vang
SGN,departure,IATA,36720,28519,77.67,6455: VCS -> DAD || 6456: DAD -> RMQ || 6457: RMQ -> PQC || 6458: PQC -> CGK || 6459: CGK -> KUL
SGN,departure,Aircraft_Type,36720,24591,66.97,6455: AT75 -> A321 || 6456: A321 -> B738 || 6457: B738 -> A21N || 6458: A21N -> A321 || 6459: A321 -> B738
SGN,departure,Airline,36720,23535,64.09,6456: Vietnam Airlines -> China Airlines || 6457: China Airlines -> Vietnam Airlines || 6459: Vietnam Airlines -> Malaysia Airlines || 6460: Malaysia Airlines -> VietJet Air || 6463: VietJet Air -> Thai Airways
SGN,departure,Terminal,36720,20217,55.06,20: 2 -> 3 || 45: 0 -> 2 || 76: 2 -> 3 || 89: 0 -> 2 || 124: 2 -> 3
SGN,departure,Is_Fixed_Flight,36720,11736,31.96,6456: 0 -> 1 || 6457: 1 -> 0 || 6459: 0 -> 1 || 6460: 1 -> 0 || 6462: 0 -> 1
SGN,departure,Category,36720,1789,4.87,16: general aviation -> cargo || 45: general aviation -> passenger || 89: general aviation -> passenger || 194: general aviation -> passenger || 198: general aviation -> passenger
SGN,departure,Crawl_Date,36720,1780,4.85,6610: 2026-01-02 -> 2026-01-03 || 6986: 2026-01-03 -> 2026-01-04 || 7363: 2026-01-04 -> 2026-01-05 || 7747: 2026-01-05 -> 2026-01-06 || 8118: 2026-01-06 -> 2026-01-07
SGN,departure,Departure_Runway,36720,786,2.14,788: N/A -> 25L || 812: N/A -> 25L || 1249: N/A -> 25L || 1281: N/A -> 25L || 1292: N/A -> 25L
SGN,departure,Status,36720,8,0.02,27494: Departed -> Unknown || 27527: Unknown -> Departed || 35987: Departed -> Canceled || 35988: Departed -> Canceled || 35989: Departed -> Canceled
