Route,Dep_Index,Arr_Index,Flight_No_Dep,Flight_No_Arr,Scheduled_Tail,Actual_Tail,Gap_Hours,Is_Aircraft_Swapped
SGN->DAD,35328,12203,VJ640,VJ640,VN-A684,VN-A684,0.8333,False
SGN->DAD,35336,12197,VJ646,VJ646,LY-NVG,LY-NVG,0.8167,False
SGN->DAD,35355,12186,VN146,VN146,VN-A601,VN-A601,1.0333,False
SGN->DAD,35371,12180,VN142,VN142,VN-A335,VN-A335,1.0333,False
SGN->DAD,35382,12176,VJ648,VJ648,VN-A544,VN-A544,1.0667,False
SGN->DAD,35390,12175,VU684,VU684,9H-MLW,9H-MLW,1.0333,False
SGN->DAD,35395,12168,VN7138,VN7138,VN-A616,VN-A616,0.5333,False
SGN->DAD,35401,12172,VN140,VN140,VN-A610,VN-A610,1.0833,False
SGN->DAD,35420,12163,VN136,VN136,VN-A508,VN-A508,1.1333,False
SGN->DAD,35424,12157,VJ638,VJ638,VN-A642,VN-A642,0.4833,False
SGN->DAD,35442,12155,VN134,VN134,VN-A603,VN-A603,1.1833,False
SGN->DAD,35453,12149,9G972,9G972,VN-A282,VN-A282,1.3333,False
SGN->DAD,35462,12141,VJ630,VJ630,VN-A677,VN-A677,0.55,False
SGN->DAD,35466,12142,VN132,VN132,VN-A609,VN-A609,1.05,False
SGN->DAD,35490,12132,VJ634,VJ634,VN-A539,VN-A539,0.5667,False
SGN->DAD,35496,12137,VN6036,VN6036,VN-A354,VN-A354,1.2167,False
SGN->DAD,35517,12126,VN126,VN126,VN-A515,VN-A515,1.05,False
SGN->DAD,35535,12106,VJ628,VJ628,VN-A633,VN-A633,0.3,False
SGN->DAD,35539,12117,9G964,9G964,VN-A906,VN-A906,1.35,False
SGN->DAD,35546,12111,QH154,QH154,VN-A227,VN-A227,1.3,False
SGN->DAD,35547,12110,VN7122,VN7122,VN-A397,VN-A397,1.2667,False
SGN->DAD,35548,12109,VN122,VN122,VN-A603,VN-A603,1.3,False
SGN->DAD,35552,12107,9G962,9G962,VN-A282,VN-A282,1.2667,False
SGN->DAD,35556,12101,VJ626,VJ626,VN-A543,VN-A543,0.9833,False
SGN->DAD,35566,12098,VN118,VN118,VN-A604,VN-A604,0.9667,False
SGN->DAD,35571,12099,VU672,VU672,VN-A129,VN-A129,1.2167,False
SGN->DAD,35587,12092,VN112,VN112,VN-A329,VN-A329,1.05,False
SGN->DAD,35591,12088,VJ622,VJ622,VN-A534,VN-A534,0.7167,False
SGN->DAD,35612,12086,VN110,VN110,VN-A515,VN-A515,0.9667,False
SGN->DAD,35625,12084,VJ620,VJ620,VN-A666,VN-A666,1.1,False
SGN->DAD,35633,12083,QH150,QH150,JU-1410,JU-1410,1.2833,False
SGN->DAD,35636,12081,VN106,VN106,VN-A623,VN-A623,1.15,False
SGN->DAD,35652,12077,VU670,VU670,VN-A129,VN-A129,1.0667,False
SGN->DAD,35679,12067,VJ644,VJ644,VN-A553,VN-A553,1.0167,False
SGN->DAD,35688,12350,VJ636,VJ636,VN-A642,VN-A642,1.0,False
SGN->DAD,35698,12336,VN148,VN148,VN-A335,VN-A335,1.0167,False
SGN->DAD,35712,12322,VN142,VN142,9H-MLO,9H-MLO,1.0667,False
SGN->DAD,35713,12335,VJ646,VJ646,LY-MLI,LY-MLI,1.0667,False
SGN->DAD,35725,12327,VN146,VN146,VN-A610,VN-A610,1.0167,False
SGN->DAD,35737,12308,VN140,VN140,VN-A332,VN-A332,1.0833,False
SGN->DAD,35760,12316,VJ648,VJ648,VN-A683,VN-A683,1.0167,False
SGN->DAD,35765,12315,VU684,VU684,9H-MLW,9H-MLW,0.9833,False
SGN->DAD,35784,12310,VN7138,VN7138,VN-A623,VN-A623,1.05,False
SGN->DAD,35795,12302,VN136,VN136,VN-A602,VN-A602,1.0667,False
SGN->DAD,35808,12299,VJ638,VJ638,VN-A647,VN-A647,1.05,False
SGN->DAD,35818,12285,VJ632,VJ632,VN-A578,VN-A578,1.0667,False
SGN->DAD,35820,12296,VN134,VN134,VN-A617,VN-A617,1.05,False
SGN->DAD,35829,12289,9G972,9G972,VN-A282,VN-A282,0.95,False
SGN->DAD,35843,12282,VN132,VN132,VN-A338,VN-A338,1.05,False
SGN->DAD,35849,12281,VJ630,VJ630,VN-A635,VN-A635,1.0,False
SGN->DAD,35866,12276,VN6036,VN6036,VN-A359,VN-A359,1.0333,False
SGN->DAD,35877,12266,VJ634,VJ634,VN-A642,VN-A642,1.1333,False
SGN->DAD,35891,12265,VN126,VN126,VN-A508,VN-A508,1.0667,False
SGN->DAD,35904,12252,VN122,VN122,VN-A390,VN-A390,1.0167,False
SGN->DAD,35906,12257,9G964,9G964,VN-A906,VN-A906,1.0167,False
SGN->DAD,35910,12249,VJ628,VJ628,VN-A637,VN-A637,0.9833,False
SGN->DAD,35913,12251,QH154,QH154,VN-A585,VN-A585,1.0167,False
SGN->DAD,35924,12245,VJ626,VJ626,VN-A684,VN-A684,1.0833,False
SGN->DAD,35925,12250,9G962,9G962,VN-A282,VN-A282,1.0667,False
SGN->DAD,35936,12241,VU672,VU672,VN-A136,VN-A136,1.0167,False
SGN->DAD,35939,12242,VN118,VN118,VN-A323,VN-A323,1.0167,False
SGN->DAD,35959,12236,VN112,VN112,VN-A602,VN-A602,0.9833,False
SGN->DAD,35970,12229,VJ622,VJ622,VN-A633,VN-A633,1.0167,False
SGN->DAD,35981,12228,VN110,VN110,VN-A508,VN-A508,1.0333,False
SGN->DAD,35986,12226,VJ620,VJ620,VN-A663,VN-A663,1.0167,False
SGN->DAD,35997,12224,QH150,QH150,JU-1410,JU-1410,1.0333,False
SGN->DAD,36004,12222,VN106,VN106,VN-A615,VN-A615,1.0167,False
SGN->DAD,36052,12214,VJ636,VJ636,VN-A522,VN-A522,1.0667,False
SGN->DAD,36062,12493,VJ636,VJ636,VN-A644,VN-A644,1.0167,False
SGN->DAD,36071,12476,VN146,VN146,VN-A619,VN-A619,0.95,False
SGN->DAD,36087,12480,VN148,VN148,VN-A610,VN-A610,1.0333,False
SGN->DAD,36088,12479,VJ646,VJ646,LY-NVE,LY-NVE,1.0,False
SGN->DAD,36104,12466,VN142,VN142,9H-MLO,9H-MLO,0.9667,False
SGN->DAD,36126,12459,VJ648,VJ648,VN-A553,VN-A553,1.0167,False
SGN->DAD,36135,12456,VN7138,VN7138,VN-A617,VN-A617,0.9667,False
SGN->DAD,36139,12455,VU684,VU684,9H-MLW,9H-MLW,1.0,False
SGN->DAD,36150,12447,VN136,VN136,VN-A619,VN-A619,0.9833,False
SGN->DAD,36158,12451,VN140,VN140,VN-A612,VN-A612,1.0833,False
SGN->DAD,36179,12440,VJ638,VJ638,VN-A670,VN-A670,1.0667,False
SGN->DAD,36196,12437,VN134,VN134,VN-A334,VN-A334,1.0,False
SGN->DAD,36206,12430,9G972,9G972,VN-A281,VN-A281,1.0333,False
SGN->DAD,36207,12426,VJ632,VJ632,VN-A661,VN-A661,1.0333,False
SGN->DAD,36219,12421,VJ630,VJ630,VN-A667,VN-A667,1.1333,False
SGN->DAD,36220,12422,VN132,VN132,VN-A327,VN-A327,1.0833,False
SGN->DAD,36247,12417,VN6036,VN6036,VN-A359,VN-A359,1.05,False
SGN->DAD,36253,12406,VJ634,VJ634,VN-A642,VN-A642,1.0333,False
SGN->DAD,36264,12404,VN126,VN126,VN-A615,VN-A615,1.0333,False
SGN->DAD,36272,12386,9G962,9G962,VN-A906,VN-A906,1.0333,False
SGN->DAD,36275,12396,9G964,9G964,VN-A282,VN-A282,0.95,False
SGN->DAD,36285,12385,VJ628,VJ628,VN-A554,VN-A554,1.0833,False
SGN->DAD,36287,12387,VN7122,VN7122,VN-A609,VN-A609,1.0667,False
SGN->DAD,36290,12388,VN122,VN122,VN-A603,VN-A603,1.0833,False
SGN->DAD,36291,12381,VJ626,VJ626,VN-A661,VN-A661,1.1167,False
SGN->DAD,36292,12389,QH154,QH154,VN-A227,VN-A227,0.9667,False
SGN->DAD,36299,12378,VU672,VU672,VN-A129,VN-A129,1.0,False
SGN->DAD,36304,12379,VN118,VN118,VN-A327,VN-A327,1.0833,False
SGN->DAD,36325,12373,VJ624,VJ624,VN-A643,VN-A643,1.0833,False
SGN->DAD,36330,12372,VN112,VN112,VN-A614,VN-A614,1.0,False
SGN->DAD,36345,12367,VJ622,VJ622,VN-A649,VN-A649,1.0833,False
SGN->DAD,36356,12366,VN110,VN110,VN-A615,VN-A615,1.0,False
SGN->DAD,36358,12364,VJ620,VJ620,VN-A658,VN-A658,1.05,False
SGN->DAD,36366,12363,QH150,QH150,JU-1410,JU-1410,1.0333,False
SGN->DAD,36377,12361,VN106,VN106,VN-A609,VN-A609,1.0,False
SGN->DAD,36383,12356,VU670,VU670,VN-A129,VN-A129,0.9667,False
SGN->HAN,1,563,VJ182,VJ182,VN-A644,VN-A644,1.7333,False
SGN->HAN,4,566,QH282,QH282,VN-A227,VN-A227,1.7167,False
SGN->HAN,5,567,VJ178,VJ178,VN-A637,VN-A637,1.7,False
SGN->HAN,9,572,VN7206,VN7206,VN-A505,VN-A505,1.7,False
SGN->HAN,12,573,VJ160,VJ160,VN-A635,VN-A635,1.7,False
