Route,Origin,Destination,Arr_Index,Flight_No,Arr_Event_Time,Arr_Service_Date,Reason,Action,Drop_Reason
DAD->SGN,DAD,SGN,8132,VN101,2026-01-06 07:07:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,13040,QH148,2026-01-21 22:49:00,2026-01-21,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,17485,VN107,2026-02-01 09:07:00,2026-02-01,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,24200,VN7141,2026-02-16 20:33:00,2026-02-16,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,27085,VN6036,2026-02-22 17:35:00,2026-02-22,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,30225,VU669,2026-02-28 15:40:00,2026-02-28,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,31254,9G959,2026-03-02 09:21:00,2026-03-02,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,31320,VU669,2026-03-02 03:38:00,2026-03-02,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,34587,VN211,2026-03-11 13:33:00,2026-03-11,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,282,VJ522,2025-12-16 00:45:00,2025-12-16,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,284,VN7192,2025-12-16 00:18:00,2025-12-16,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6478,VJ518,2026-01-06 22:49:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6484,VJ516,2026-01-06 22:19:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6488,VN6070,2026-01-06 21:53:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6514,VN188,2026-01-06 20:26:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6521,VU658,2026-01-06 20:02:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6528,QH148,2026-01-06 19:39:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6531,VN180,2026-01-06 19:29:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6545,VJ514,2026-01-06 18:39:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6548,VN174,2026-01-06 18:23:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6550,VJ512,2026-01-06 18:17:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6583,VN172,2026-01-06 16:32:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6589,VN7164,2026-01-06 16:02:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6604,VN170,2026-01-06 15:05:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6683,QH104,2026-01-06 10:31:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6694,VU638,2026-01-06 09:45:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6700,VN158,2026-01-06 09:15:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6702,VJ504,2026-01-06 09:09:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6717,VN156,2026-01-06 07:38:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6718,VJ524,2026-01-06 07:32:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,6723,VJ502,2026-01-06 06:51:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,7057,VN7192,2026-01-07 00:33:00,2026-01-07,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,10691,QH171,2026-01-21 23:04:00,2026-01-21,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,10701,VJ639,2026-01-21 22:15:00,2026-01-21,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,11415,VN363,2026-01-23 11:15:00,2026-01-23,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,12014,VN1670,2026-01-25 07:53:00,2026-01-25,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,12524,TK252,2026-01-27 11:45:00,2026-01-27,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,23857,VJ512,2026-12-24 18:17:00,2026-12-24,no_departure_match,mark_missing_departure,
DAD->HAN,DAD,HAN,23860,VN158,2026-12-28 09:12:00,2026-12-28,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,276,QH286,2025-12-16 09:01:00,2025-12-16,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,333,VJ161,2025-12-16 01:11:00,2025-12-16,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,339,VN6025,2025-12-16 00:51:00,2025-12-16,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,344,VJ123,2025-12-16 00:29:00,2025-12-16,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,345,9G895,2025-12-16 00:18:00,2025-12-16,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,1664,VN209,2025-12-20 11:25:00,2025-12-20,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,1787,VN7253,2025-12-20 00:39:00,2025-12-20,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,2769,VN211,2025-12-23 13:01:00,2025-12-23,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,3017,VN257,2025-12-24 19:30:00,2025-12-24,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,3023,VN217,2025-12-24 19:13:00,2025-12-24,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,3032,QH255,2025-12-24 18:43:00,2025-12-24,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,6118,VN247,2026-01-01 12:30:00,2026-01-01,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,6699,VJ173,2026-01-03 21:44:00,2026-01-03,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,7732,VN7045,2026-01-05 08:40:00,2026-01-05,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,8127,VN243,2026-01-06 07:47:00,2026-01-06,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,8505,VN205,2026-01-08 06:54:00,2026-01-08,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,8550,9G1230,2026-01-08 00:11:00,2026-01-08,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,8902,VJ159,2026-01-09 02:25:00,2026-01-09,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,9568,VN661,2026-01-11 10:24:00,2026-01-11,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,10351,VN243,2026-01-13 07:48:00,2026-01-13,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,10356,9G801,2026-01-13 07:31:00,2026-01-13,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,11010,VN247,2026-01-15 12:09:00,2026-01-15,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,11628,QH255,2026-01-17 18:43:00,2026-01-17,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,11770,VJ125,2026-01-17 11:26:00,2026-01-17,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,11835,VN243,2026-01-17 07:51:00,2026-01-17,no_departure_match,mark_missing_departure,
HAN->SGN,HAN,SGN,11889,VJ161,2026-01-17 00:24:00,2026-01-17,no_departure_match,mark_missing_departure,
