Route,Dep_Index,Arr_Index,Flight_No,Dep_Tail_Before,Arr_Tail_After,Dep_AC_Before,Arr_AC_After,Gap_Hours
SGN->HAN,11679,9883,VJ178,VN-A658,VN-A651,A320,A321,2.85
SGN->HAN,11680,9886,VJ182,VN-A535,VN-A683,A321,A321,1.85
SGN->HAN,11683,9895,VN270,VN-A503,VN-A332,A21N,A321,1.5667
SGN->HAN,11686,9899,VN224,VN-A610,VN-A329,A321,A321,1.7167
SGN->HAN,12046,10148,VN270,VN-A353,VN-A503,A321,A21N,1.5333
SGN->HAN,12409,10409,VN270,VN-A611,VN-A353,A321,A321,0.9333
SGN->HAN,12413,10396,VJ178,VN-A575,VN-A672,A21N,A320,3.0167
SGN->HAN,12418,10412,9G886,VN-A281,VN-A284,A21N,A21N,1.8667
SGN->HAN,13135,10902,QH282,VN-A227,VN-A585,A321,A321,1.45
SGN->HAN,13139,10898,VJ178,VN-A553,VN-A699,A21N,A320,2.2833
SGN->HAN,13442,11193,VN270,VN-A514,VN-A612,A20N,A321,1.0667
SGN->HAN,13443,11190,VJ178,VN-A667,VN-A553,A321,A21N,1.4167
SGN->HAN,13769,11475,VJ178,VN-A655,VN-A667,A320,A321,1.7667
SGN->HAN,13775,11474,VN270,VN-A610,VN-A514,A321,A20N,2.3
SGN->HAN,14155,11768,VJ178,VN-A641,VN-A655,A321,A320,1.8667
SGN->HAN,14157,11774,VN270,VN-A398,VN-A610,A321,A321,1.65
SGN->HAN,14163,11762,VJ174,VN-A635,VN-A640,A321,A321,4.1833
SGN->HAN,14490,12049,VN270,VN-A611,VN-A398,A321,A321,1.6167
SGN->HAN,14869,12317,VN270,VN-A604,VN-A611,A321,A321,1.7
SGN->HAN,14870,12308,VJ178,VN-A546,VN-A644,A21N,A321,2.8667
SGN->HAN,14878,12323,VN224,VN-A602,VN-A335,A321,A321,1.9167
SGN->HAN,15258,12597,VJ182,VN-A672,VN-A637,A320,A321,1.5167
SGN->HAN,15264,12601,VN270,VN-A357,VN-A604,A321,A321,1.7333
SGN->HAN,15629,12858,VJ178,VN-A536,VN-A668,A21N,A320,2.2667
SGN->HAN,15632,12866,VN270,VN-A601,VN-A357,A321,A321,1.6333
SGN->HAN,16016,13146,VN224,VN-A329,VN-A877,A321,B78X,0.5
SGN->HAN,16020,13139,VJ178,VN-A663,VN-A536,A320,A21N,1.85
SGN->HAN,16406,13418,VN270,VN-A605,VN-A332,A321,A321,1.7667
SGN->HAN,16408,13422,VJ174,VN-A639,VN-A641,A321,A321,1.5167
SGN->HAN,16775,13701,VJ182,VN-A668,VN-A651,A320,A321,2.8
SGN->HAN,16783,13714,VN270,VN-A329,VN-A605,A321,A321,1.7167
SGN->HAN,17163,13986,VJ178,VN-A633,VN-A632,A321,A321,2.9833
SGN->HAN,17164,13994,VN270,VN-A606,VN-A329,A321,A321,1.7167
SGN->HAN,17579,14273,VN270,VN-A610,VN-A606,A321,A321,1.45
SGN->HAN,17983,14532,VJ182,VN-A629,VN-A632,A321,A321,2.0333
SGN->HAN,17989,14537,VN270,VN-A397,VN-A610,A321,A321,1.8
SGN->HAN,18796,14790,VJ178,VN-A536,VN-A670,A21N,A321,1.3333
SGN->HAN,18801,14785,VJ182,VN-A644,VN-A537,A321,A21N,2.4167
SGN->HAN,18808,14793,VN270,VN-A505,VN-A398,A21N,A321,1.7333
SGN->HAN,18818,14801,VN224,VN-A601,VN-A331,A321,A321,1.4167
SGN->HAN,18825,14802,VN7020,VN-A871,VN-A888,B789,A359,1.7
SGN->HAN,19234,15044,VJ178,VN-A697,VN-A536,A21N,A21N,1.75
SGN->HAN,19235,15050,VJ182,VN-A676,VN-A644,A320,A321,1.4833
SGN->HAN,19243,15068,VN7020,VN-A874,VN-A871,B78X,B789,0.5167
SGN->HAN,19249,15056,VJ174,VN-A670,VN-A522,A321,A321,1.85
SGN->HAN,19683,15335,VJ182,VN-A663,VN-A676,A320,A320,2.0667
SGN->HAN,19684,15332,VU782,VN-A136,VN-A289,A320,A321,2.25
SGN->HAN,19690,15329,VN270,VN-A609,VN-A353,A321,A321,3.0667
SGN->HAN,19703,15353,VN224,VN-A396,VN-A623,A321,A21N,1.7167
SGN->HAN,19712,15345,VN7020,VN-A616,VN-A874,A21N,B78X,2.8667
SGN->HAN,20153,15649,VN270,VN-A357,VN-A609,A321,A321,1.2
SGN->HAN,20161,15658,VN7020,VN-A886,VN-A616,A359,A21N,0.75
SGN->HAN,20165,15654,VN224,VN-A604,VN-A396,A321,A321,1.2667
SGN->HAN,20176,15630,VJ174,VN-A668,VN-A675,A320,A320,4.2833
SGN->HAN,20177,15646,VN7010,VN-A601,VN-A512,A321,A21N,2.4667
SGN->HAN,20611,15945,VJ178,VN-A697,VN-A657,A21N,A321,2.8333
SGN->HAN,20612,15946,VJ182,VN-A649,VN-A675,A321,A320,2.8167
SGN->HAN,20628,15960,VN224,VN-A888,VN-A604,A359,A321,1.8333
SGN->HAN,20634,15962,9G882,VN-A279,VN-A280,A321,A321,1.9667
SGN->HAN,21078,16249,VN270,VN-A357,VN-A603,A321,A321,3.3333
SGN->HAN,21097,16272,9G882,VN-A280,VN-A279,A321,A321,1.55
SGN->HAN,21577,16574,VJ174,VN-A522,VN-A683,A321,A321,0.6167
SGN->HAN,21578,16565,VN7010,VN-A866,VN-A869,B789,B789,1.3833
SGN->HAN,21593,16568,9G882,VN-A279,VN-A280,A321,A321,1.6667
SGN->HAN,21594,16579,VN262,VN-A874,VN-A614,B78X,A321,0.9833
